Round,PDR
1,0.95
2,0.9501115924904818
3,0.9500529741183593
4,0.9501066797964878
5,0.9501137755995099
6,0.950037147102526
7,0.9500193723363037
8,0.9500402900886382
9,0.9501557632398754
10,0.9501289767841788
11,0.9500110107905748
12,0.9500680889695869
13,0.9502093997208003
14,0.9500356887937188
15,0.9501331396756233
16,0.950098814229249
17,0.9502251125562782
18,0.9500126871352449
19,0.9500128832775058
20,0.95
21,0.9501061571125266
22,0.9502018842530283
23,0.9502324309543342
24,0.95
25,0.9501958589815332
26,0.9501275148767356
27,0.9502715061446128
28,0.9502602660497398
29,0.9502038439138032
30,0.9501466275659824
31,0.9500443393437777
32,0.9500448698773557
33,0.9501058361052314
34,0.9501681442983797
35,0.9500616522811344
36,0.9502796768178993
37,0.9502658742571161
38,0.95
39,0.9500159184972938
40,0.9500480307396734
41,0.9502583979328165
42,0.95
43,0.9502129053390108
44,0.95
45,0.9500826446280992
46,0.9502322495023225
47,0.9502338009352037
48,0.9501683501683502
49,0.9503063308373043
50,0.95
51,0.950259067357513
52,0.9501915708812261
53,0.9502103786816269
54,0.9501414427157001
55,0.9502133712660028
56,0.9503394069310468
57,0.9500538986704995
58,0.9501805054151624
59,0.9502722323049002
60,0.9500546846518411
61,0.9501100513573001
62,0.9502395871728714
63,0.9503151649981461
64,0.9501673484566754
65,0.950037565740045
66,0.9501322251605592
67,0.9501711677443895
68,0.9501533742331288
69,0.9501160092807425
70,0.9501945525291828
71,0.9503518373729476
72,0.950098231827112
73,0.95009900990099
74,0.9503377036154151
75,0.9501396090945353
76,0.9500798722044729
77,0.9503205128205128
78,0.9500604107933951
79,0.9503231017770598
80,0.9501418727199027
81,0.9502649816551162
82,0.95004095004095
83,0.950123660346249
84,0.9503927242662257
85,0.9501454092230993
86,0.95
87,0.9502508361204013
88,0.950104821802935
89,0.950357593605385
90,0.9501899535669058
91,0.950021177467175
92,0.9502551020408163
93,0.9500640204865557
94,0.9503211991434689
95,0.9501289767841788
96,0.9503025064822818
97,0.9500217296827467
98,0.9502400698384985
99,0.95
100,0.9502640845070423
101,0.95
102,0.9502000889284127
103,0.9500891265597148
104,0.9503577817531306
105,0.9502465262214254
106,0.9500674763832658
107,0.950383400992332
108,0.9502037120869171
109,0.9500227169468424
110,0.950296397628819
111,0.950091575091575
112,0.9502991256327658
113,0.9501154734411086
114,0.9504400185270959
115,0.9502093997208003
116,0.9504441327723235
117,0.9501645510108133
118,0.95002357378595
119,0.9502840909090909
120,0.9501661129568106
121,0.9500475737392959
122,0.9502868068833652
123,0.9501199040767386
124,0.950337512054002
125,0.9501934235976789
126,0.9504373177842566
127,0.9502923976608187
128,0.950441609421001
129,0.9502952755905512
130,0.9502217841301134
131,0.950098814229249
132,0.9503229011425732
133,0.9501743896362731
134,0.9500249875062469
135,0.9503510531594784
136,0.9501008064516129
137,0.95
138,0.9503294475418145
139,0.9500254971953085
140,0.9504343382728666
141,0.9502053388090349
142,0.9501028806584362
143,0.9503619441571872
144,0.950259067357513
145,0.9500520291363164
146,0.9503916449086162
147,0.9501312335958005
148,0.95
149,0.95042194092827
150,0.9502382212811011
151,0.9500531349628055
152,0.950479233226837
153,0.9503470368392952
154,0.9501607717041801
155,0.9503775620280475
156,0.9501355013550136
157,0.95
158,0.950381679389313
159,0.9503275109170306
160,0.9501642935377875
161,0.9504678040726472
162,0.9502487562189055
163,0.9501936912008855
164,0.9500831946755408
165,0.9505280711506392
166,0.9504730105731776
167,0.9503070910106086
168,0.9501958589815332
169,0.9504225352112676
170,0.9503666102650874
171,0.9502543810062182
172,0.9501416430594901
173,0.9505119453924915
174,0.9504555808656037
175,0.9503990877993158
